# log\Sigma_* (Msun/kpc^2), log\Sigma_SFR (Msun/yr/kpc^2)
7.203947368421052, -2.75417439703154
7.18640350877193, -2.8024118738404455
7.203947368421052, -2.850649350649351
7.254385964912281, -2.898886827458256
7.326754385964912, -2.954545454545455
7.344298245614035, -2.9730983302411875
7.407894736842105, -3.00278293135436
7.445175438596491, -3.0287569573283863
7.5, -3.0324675324675328
7.550438596491228, -2.9990723562152137
7.583333333333333, -3.0584415584415585
7.649122807017544, -3.0621521335807054
7.699561403508771, -3.0176252319109462
7.74780701754386, -3.036178107606679
7.765350877192982, -3.00278293135436
7.798245614035087, -2.9990723562152137
7.857456140350877, -2.954545454545455
7.879385964912281, -2.902597402597403
7.901315789473684, -2.8766233766233773
8.052631578947368, -2.7690166975881265
8.06578947368421, -2.75417439703154
8.085526315789473, -2.7022263450834885
8.146929824561402, -2.668831168831169
8.203947368421051, -2.609461966604824
8.24780701754386, -2.498144712430427
8.300438596491228, -2.4536178107606683
8.31140350877193, -2.4016697588126164
8.401315789473683, -2.353432282003711
8.412280701754385, -2.2977736549165124
8.429824561403509, -2.249536178107607
8.44736842105263, -2.238404452690167
8.471491228070175, -2.1975881261595553
8.491228070175438, -2.1530612244897966
8.535087719298245, -2.1085343228200375
8.554824561403509, -2.0491651205936923
8.535087719298245, -2.000927643784787
8.541666666666666, -1.9452690166975886
8.543859649122806, -1.9007421150278296
8.550438596491228, -1.8747680890538037
8.596491228070175, -1.7968460111317257
8.583333333333332, -1.752319109461967
8.592105263157894, -1.7040816326530615
8.548245614035087, -1.648423005565863
8.589912280701753, -1.596474953617811
8.600877192982455, -1.5890538033395178
8.614035087719298, -1.5482374768089058
8.605263157894736, -1.4962894248608538
8.618421052631579, -1.4480519480519485
8.598684210526315, -1.4146567717996292
8.548245614035087, -1.4146567717996292
8.530701754385964, -1.399814471243043
8.56140350877193, -1.3478664192949912
8.550438596491228, -1.3367346938775513
8.5, -1.3256029684601116
8.456140350877192, -1.3515769944341378
8.475877192982455, -1.3961038961038965
8.44956140350877, -1.4183673469387759
8.405701754385964, -1.399814471243043
8.399122807017543, -1.3812615955473102
8.392543859649123, -1.399814471243043
8.348684210526315, -1.4183673469387759
8.31359649122807, -1.3961038961038965
8.300438596491228, -1.3812615955473102
8.274122807017543, -1.399814471243043
8.263157894736842, -1.4480519480519485
8.24780701754386, -1.4554730983302415
8.199561403508772, -1.4332096474953622
8.157894736842104, -1.4480519480519485
8.089912280701753, -1.5074211502782935
7.99780701754386, -1.5667903525046385
7.9758771929824555, -1.6001855287569577
7.953947368421052, -1.6076066790352508
7.890350877192982, -1.6521335807050095
7.8508771929824555, -1.6706864564007424
7.800438596491228, -1.7300556586270877
7.75, -1.752319109461967
7.721491228070175, -1.8005565862708723
7.701754385964912, -1.8153988868274586
7.649122807017544, -1.8153988868274586
7.6118421052631575, -1.8525046382189243
7.598684210526315, -1.8821892393320967
7.572368421052631, -1.9007421150278296
7.6008771929824555, -1.9489795918367352
7.548245614035087, -1.9897959183673473
7.49780701754386, -1.9860853432282006
7.449561403508771, -2.034322820037106
7.410087719298245, -2.0491651205936923
7.425438596491228, -2.1011131725417442
7.399122807017544, -2.145640074211503
7.348684210526315, -2.1975881261595553
7.331140350877193, -2.2012987012987013
7.298245614035087, -2.249536178107607
7.289473684210526, -2.301484230055659
7.230263157894736, -2.353432282003711
7.24780701754386, -2.394248608534323
7.263157894736842, -2.4016697588126164
7.208333333333333, -2.4536178107606683
7.2105263157894735, -2.5018552875695734
7.162280701754385, -2.553803339517626
7.197368421052631, -2.5946196660482377
7.25, -2.6020408163265314
7.203947368421052, -2.650278293135436
7.199561403508771, -2.668831168831169
7.157894736842105, -2.7022263450834885
7.199561403508771, -2.7393320964749543
7.203947368421052, -2.75417439703154

